Word,Start,End,Length,UtteranceName,Speaker,Filename,Global_start,Global_end
des,0.67,0.78,0.10999999999999999,99_Parent_CA-RL-ML,Parent,CA-RL-ML,138.67,138.78
a,0.58,0.67,0.09000000000000008,99_Parent_CA-RL-ML,Parent,CA-RL-ML,138.58,138.67
y,0.52,0.58,0.05999999999999994,99_Parent_CA-RL-ML,Parent,CA-RL-ML,138.52,138.58
il,0.49,0.52,0.030000000000000027,99_Parent_CA-RL-ML,Parent,CA-RL-ML,138.49,138.52
fois,0.36,0.49,0.13,99_Parent_CA-RL-ML,Parent,CA-RL-ML,138.36,138.49
Des,0.18,0.36,0.18,99_Parent_CA-RL-ML,Parent,CA-RL-ML,138.18,138.36
coller,5.34,5.86,0.5200000000000005,99_Parent_CA-MD-GD,Parent,CA-MD-GD,705.34,705.86
à,5.18,5.29,0.11000000000000032,99_Parent_CA-MD-GD,Parent,CA-MD-GD,705.18,705.29
sert,5.02,5.18,0.16000000000000014,99_Parent_CA-MD-GD,Parent,CA-MD-GD,705.02,705.18
qui,4.91,5.02,0.10999999999999943,99_Parent_CA-MD-GD,Parent,CA-MD-GD,704.91,705.02
objet,4.74,4.91,0.16999999999999993,99_Parent_CA-MD-GD,Parent,CA-MD-GD,704.74,704.91
un,4.63,4.74,0.11000000000000032,99_Parent_CA-MD-GD,Parent,CA-MD-GD,704.63,704.74
c'est,4.36,4.63,0.2699999999999996,99_Parent_CA-MD-GD,Parent,CA-MD-GD,704.36,704.63
que,3.62,4.36,0.7400000000000002,99_Parent_CA-MD-GD,Parent,CA-MD-GD,703.62,704.36
ce,2.925,3.4,0.4750000000000001,99_Parent_CA-MD-GD,Parent,CA-MD-GD,702.925,703.4
est,2.84,2.925,0.08499999999999996,99_Parent_CA-MD-GD,Parent,CA-MD-GD,702.84,702.925
Eh,2.77,2.84,0.06999999999999984,99_Parent_CA-MD-GD,Parent,CA-MD-GD,702.77,702.84
oublié,2.49,2.77,0.2799999999999998,99_Parent_CA-MD-GD,Parent,CA-MD-GD,702.49,702.77
