UtteranceName,Filename,Global_end,Global_start,Length,Speaker,Word,syllables,Speech rate
130_Adult1_AA-BO-CM,AA-BO-CM,109.2,108.0,1.1399999999999997,Adult1,8,9,7.499999999999982
9_Adult2_AA-BO-CM,AA-BO-CM,119.0,109.97,4.919999999999999,Adult2,11,18,1.9933554817275745
131_Adult1_AA-BO-CM,AA-BO-CM,117.82,116.12,1.25,Adult1,4,6,3.529411764705906
10_Adult2_AA-BO-CM,AA-BO-CM,147.32999999999998,120.56,12.789999999999994,Adult2,8,11,0.41090773253642165
132_Adult1_AA-BO-CM,AA-BO-CM,135.99,126.59,2.2699999999999996,Adult1,7,8,0.8510638297872335
133_Adult1_AA-BO-CM,AA-BO-CM,152.88,148.5,3.61,Adult1,18,27,6.164383561643842
11_Adult2_AA-BO-CM,AA-BO-CM,169.68,153.8,7.210000000000002,Adult2,8,10,0.6297229219143579
134_Adult1_AA-BO-CM,AA-BO-CM,157.98,156.55,1.3099999999999998,Adult1,6,7,4.895104895104969
135_Adult1_AA-BO-CM,AA-BO-CM,167.0,162.16,2.5199999999999996,Adult1,6,9,1.8595041322314037
136_Adult1_AA-BO-CM,AA-BO-CM,169.92,167.19,1.3199999999999998,Adult1,3,5,1.8315018315018383
12_Adult2_AA-BO-CM,AA-BO-CM,172.16,170.0,0.3900000000000001,Adult2,2,4,1.8518518518518547
13_Adult2_AA-BO-CM,AA-BO-CM,175.97,173.17,1.6700000000000002,Adult2,6,6,2.1428571428571344
138_Adult1_AA-BO-CM,AA-BO-CM,176.68,176.0,0.6799999999999999,Adult1,5,7,10.29411764705872
139_Adult1_AA-BO-CM,AA-BO-CM,198.83,177.5,6.909999999999999,Adult1,15,19,0.8907641819034219
15_Adult2_AA-BO-CM,AA-BO-CM,198.0,180.85,2.3599999999999994,Adult2,5,7,0.4081632653061223
16_Adult2_AA-BO-CM,AA-BO-CM,200.04,198.0,0.3799999999999999,Adult2,2,4,1.9607843137254979
140_Adult1_AA-BO-CM,AA-BO-CM,202.82,199.13,2.7399999999999993,Adult1,15,20,5.420054200542009
17_Adult2_AA-BO-CM,AA-BO-CM,204.72,204.03,0.69,Adult2,2,3,4.347826086956536
141_Adult1_AA-BO-CM,AA-BO-CM,210.04,205.35,2.709999999999999,Adult1,10,16,3.411513859275055
142_Adult1_AA-BO-CM,AA-BO-CM,221.28,212.68,4.169999999999998,Adult1,15,17,1.976744186046513
143_Adult1_AA-BO-CM,AA-BO-CM,226.81,222.81,1.4099999999999995,Adult1,6,5,1.25
144_Adult1_AA-BO-CM,AA-BO-CM,232.9,227.14,2.7700000000000005,Adult1,12,20,3.4722222222222108
145_Adult1_AA-BO-CM,AA-BO-CM,240.37,233.08,4.439999999999999,Adult1,16,21,2.880658436213995
146_Adult1_AA-BO-CM,AA-BO-CM,248.51,246.26,1.41,Adult1,4,7,3.111111111111111
147_Adult1_AA-BO-CM,AA-BO-CM,252.0,249.46,0.6900000000000002,Adult1,4,6,2.362204724409456
24_Adult2_AA-BO-CM,AA-BO-CM,251.7,250.0,1.0099999999999998,Adult2,4,8,4.705882352941208
148_Adult1_AA-BO-CM,AA-BO-CM,252.82,252.0,0.8199999999999998,Adult1,4,7,8.53658536585373
149_Adult1_AA-BO-CM,AA-BO-CM,264.0,255.74,3.190000000000001,Adult1,14,21,2.542372881355935
150_Adult1_AA-BO-CM,AA-BO-CM,271.16,264.0,2.3400000000000003,Adult1,6,8,1.117318435754186
151_Adult1_AA-BO-CM,AA-BO-CM,289.0,272.7,4.819999999999992,Adult1,17,27,1.65644171779141
26_Adult2_AA-BO-CM,AA-BO-CM,300.99,283.55,3.099999999999996,Adult2,12,18,1.0321100917431194
152_Adult1_AA-BO-CM,AA-BO-CM,306.5,289.07,6.6,Adult1,24,35,2.0080321285140554
27_Adult2_AA-BO-CM,AA-BO-CM,310.33,308.56,1.02,Adult2,5,11,6.214689265536787
153_Adult1_AA-BO-CM,AA-BO-CM,311.61,310.2,1.2200000000000002,Adult1,6,7,4.96453900709211
28_Adult2_AA-BO-CM,AA-BO-CM,314.3,312.05,2.0199999999999996,Adult2,6,7,3.111111111111111
154_Adult1_AA-BO-CM,AA-BO-CM,328.77,314.22,7.669999999999998,Adult1,27,37,2.542955326460489
29_Adult2_AA-BO-CM,AA-BO-CM,330.37,329.2,1.17,Adult2,7,10,8.547008547008431
155_Adult1_AA-BO-CM,AA-BO-CM,336.54,331.0,2.82,Adult1,3,5,0.902527075812271
156_Adult1_AA-BO-CM,AA-BO-CM,376.87,342.55,7.8599999999999985,Adult1,3,4,0.11655011655011657
32_Adult2_AA-BO-CM,AA-BO-CM,383.88,379.54,0.9400000000000001,Adult2,4,7,1.6129032258064608
157_Adult1_AA-BO-CM,AA-BO-CM,385.94,380.19,2.1100000000000003,Adult1,8,13,2.260869565217391
33_Adult2_AA-BO-CM,AA-BO-CM,386.14,384.23,0.4500000000000002,Adult2,3,3,1.5706806282722774
158_Adult1_AA-BO-CM,AA-BO-CM,391.0,386.0,0.9000000000000005,Adult1,3,5,1.0
159_Adult1_AA-BO-CM,AA-BO-CM,410.0,391.0,8.540000000000001,Adult1,14,25,1.3157894736842106
36_Adult2_AA-BO-CM,AA-BO-CM,406.05,403.91,1.1199999999999988,Adult2,13,19,8.878504672897252
161_Adult1_AA-BO-CM,AA-BO-CM,411.67,411.23,0.4399999999999999,Adult1,2,3,6.818181818181853
39_Adult2_AA-BO-CM,AA-BO-CM,426.0,412.31,5.129999999999999,Adult2,6,8,0.5843681519357196
162_Adult1_AA-BO-CM,AA-BO-CM,423.57,418.0,1.1400000000000008,Adult1,4,6,1.0771992818671468
163_Adult1_AA-BO-CM,AA-BO-CM,430.52,424.18,3.9599999999999995,Adult1,16,27,4.25867507886437
40_Adult2_AA-BO-CM,AA-BO-CM,435.86,431.4,1.6400000000000006,Adult2,6,10,2.2421524663676946
164_Adult1_AA-BO-CM,AA-BO-CM,448.0,434.36,4.16,Adult1,5,13,0.9530791788856314
41_Adult2_AA-BO-CM,AA-BO-CM,441.68,436.35,3.459999999999999,Adult2,13,22,4.127579737335847
42_Adult2_AA-BO-CM,AA-BO-CM,449.0,444.33,1.1099999999999999,Adult2,2,2,0.4282655246252662
44_Adult2_AA-BO-CM,AA-BO-CM,463.92,452.51,2.2500000000000004,Adult2,6,10,0.876424189307623
166_Adult1_AA-BO-CM,AA-BO-CM,463.73,456.44,1.9699999999999998,Adult1,2,3,0.4115226337448548
167_Adult1_AA-BO-CM,AA-BO-CM,480.0,467.13,3.3999999999999986,Adult1,7,7,0.5439005439005437
45_Adult2_AA-BO-CM,AA-BO-CM,477.77,474.58,1.3299999999999998,Adult2,2,2,0.6269592476489033
168_Adult1_AA-BO-CM,AA-BO-CM,492.0,481.55,3.2899999999999983,Adult1,16,25,2.392344497607658
169_Adult1_AA-BO-CM,AA-BO-CM,505.19,492.0,5.069999999999999,Adult1,18,22,1.6679302501895379
47_Adult2_AA-BO-CM,AA-BO-CM,520.35,504.67,3.530000000000002,Adult2,6,9,0.5739795918367344
170_Adult1_AA-BO-CM,AA-BO-CM,519.83,508.09,4.26,Adult1,10,15,1.2776831345826163
