UtteranceName,Speaker,Filename,Global_end,Global_start,Length,Speaker,UtteranceName,Word,syllables,Speech rate
188_Child_CA-BO-IO,Child,['CA-BO-IO'],713.47,708.47,2.96,['Child'],['188_Child_CA-BO-IO'],7,11,2.2
71_Parent_CA-BO-IO,Parent,['CA-BO-IO'],720.5,713.77,5.629999999999999,['Parent'],['71_Parent_CA-BO-IO'],22,31,4.606240713224356
189_Child_CA-BO-IO,Child,['CA-BO-IO'],735.3,722.49,0.9700000000000004,['Child'],['189_Child_CA-BO-IO'],3,3,0.234192037470727
72_Parent_CA-BO-IO,Parent,['CA-BO-IO'],744.96,724.32,6.490000000000005,['Parent'],['72_Parent_CA-BO-IO'],17,24,1.1627906976744193
190_Child_CA-BO-IO,Child,['CA-BO-IO'],744.26,740.58,2.2299999999999995,['Child'],['190_Child_CA-BO-IO'],4,4,1.0869565217391453
73_Parent_CA-BO-IO,Parent,['CA-BO-IO'],748.99,745.01,3.46,['Parent'],['73_Parent_CA-BO-IO'],14,16,4.020100502512545
191_Child_CA-BO-IO,Child,['CA-BO-IO'],754.27,752.63,1.21,['Child'],['191_Child_CA-BO-IO'],3,3,1.829268292682942
75_Parent_CA-BO-IO,Parent,['CA-BO-IO'],763.94,761.0,1.8099999999999996,['Parent'],['75_Parent_CA-BO-IO'],13,21,7.14285714285701
77_Parent_CA-BO-IO,Parent,['CA-BO-IO'],775.94,774.68,1.2599999999999998,['Parent'],['77_Parent_CA-BO-IO'],5,5,3.968253968253639
195_Child_CA-BO-IO,Child,['CA-BO-IO'],782.47,779.36,1.5800000000000003,['Child'],['195_Child_CA-BO-IO'],3,4,1.2861736334405087
79_Parent_CA-BO-IO,Parent,['CA-BO-IO'],780.67,779.43,1.24,['Parent'],['79_Parent_CA-BO-IO'],2,2,1.6129032258064397
80_Parent_CA-BO-IO,Parent,['CA-BO-IO'],790.78,781.72,4.1499999999999995,['Parent'],['80_Parent_CA-BO-IO'],18,23,2.5386313465783816
196_Child_CA-BO-IO,Child,['CA-BO-IO'],790.77,790.48,0.2899999999999999,['Child'],['196_Child_CA-BO-IO'],3,3,10.344827586208194
81_Parent_CA-BO-IO,Parent,['CA-BO-IO'],793.0,791.0,0.7199999999999998,['Parent'],['81_Parent_CA-BO-IO'],4,4,2.0
82_Parent_CA-BO-IO,Parent,['CA-BO-IO'],796.43,793.0,2.64,['Parent'],['82_Parent_CA-BO-IO'],13,14,4.081632653061284
197_Child_CA-BO-IO,Child,['CA-BO-IO'],803.92,796.2,3.6399999999999997,['Child'],['197_Child_CA-BO-IO'],12,15,1.943005181347172
83_Parent_CA-BO-IO,Parent,['CA-BO-IO'],806.29,805.19,1.0999999999999996,['Parent'],['83_Parent_CA-BO-IO'],8,10,9.090909090909843
198_Child_CA-BO-IO,Child,['CA-BO-IO'],813.16,810.84,2.07,['Child'],['198_Child_CA-BO-IO'],3,7,3.017241379310428
85_Parent_CA-BO-IO,Parent,['CA-BO-IO'],817.34,814.0,2.4299999999999997,['Parent'],['85_Parent_CA-BO-IO'],8,11,3.293413173652663
199_Child_CA-BO-IO,Child,['CA-BO-IO'],826.91,821.06,1.9899999999999998,['Child'],['199_Child_CA-BO-IO'],4,4,0.6837606837606811
86_Parent_CA-BO-IO,Parent,['CA-BO-IO'],832.98,825.22,6.069999999999999,['Parent'],['86_Parent_CA-BO-IO'],24,30,3.8659793814433034
87_Parent_CA-BO-IO,Parent,['CA-BO-IO'],842.22,836.59,3.489999999999999,['Parent'],['87_Parent_CA-BO-IO'],19,32,5.683836589698051
201_Child_CA-BO-IO,Child,['CA-BO-IO'],849.2,843.69,4.020000000000001,['Child'],['201_Child_CA-BO-IO'],10,15,2.7223230490018193
88_Parent_CA-BO-IO,Parent,['CA-BO-IO'],851.4,850.49,0.69,['Parent'],['88_Parent_CA-BO-IO'],2,4,4.39560439560455
202_Child_CA-BO-IO,Child,['CA-BO-IO'],859.99,854.42,3.4800000000000004,['Child'],['202_Child_CA-BO-IO'],4,5,0.8976660682226131
89_Parent_CA-BO-IO,Parent,['CA-BO-IO'],878.72,861.17,3.459999999999995,['Parent'],['89_Parent_CA-BO-IO'],26,38,2.165242165242157
90_Parent_CA-BO-IO,Parent,['CA-BO-IO'],882.95,879.08,2.3100000000000005,['Parent'],['90_Parent_CA-BO-IO'],4,6,1.550387596899223
203_Child_CA-BO-IO,Child,['CA-BO-IO'],883.74,882.6,0.77,['Child'],['203_Child_CA-BO-IO'],3,3,2.6315789473684523
92_Parent_CA-BO-IO,Parent,['CA-BO-IO'],885.95,885.48,0.4699999999999999,['Parent'],['92_Parent_CA-BO-IO'],2,2,4.255319148935923
93_Parent_CA-BO-IO,Parent,['CA-BO-IO'],893.0,886.2,2.309999999999999,['Parent'],['93_Parent_CA-BO-IO'],10,14,2.0588235294117783
94_Parent_CA-BO-IO,Parent,['CA-BO-IO'],893.44,893.0,0.44000000000000006,['Parent'],['94_Parent_CA-BO-IO'],5,7,15.909090909088937
206_Child_CA-BO-IO,Child,['CA-BO-IO'],896.28,895.33,0.95,['Child'],['206_Child_CA-BO-IO'],2,2,2.105263157894888
95_Parent_CA-BO-IO,Parent,['CA-BO-IO'],898.6,897.41,1.0100000000000002,['Parent'],['95_Parent_CA-BO-IO'],2,2,1.680672268907486
207_Child_CA-BO-IO,Child,['CA-BO-IO'],903.72,898.27,2.9999999999999996,['Child'],['207_Child_CA-BO-IO'],8,8,1.4678899082568684
96_Parent_CA-BO-IO,Parent,['CA-BO-IO'],907.16,900.65,4.349999999999999,['Parent'],['96_Parent_CA-BO-IO'],17,24,3.686635944700466
97_Parent_CA-BO-IO,Parent,['CA-BO-IO'],910.68,910.0,0.6800000000000002,['Parent'],['97_Parent_CA-BO-IO'],2,3,4.411764705882677
98_Parent_CA-BO-IO,Parent,['CA-BO-IO'],923.0,913.28,1.5500000000000005,['Parent'],['98_Parent_CA-BO-IO'],4,5,0.5144032921810685
210_Child_CA-BO-IO,Child,['CA-BO-IO'],930.94,919.03,2.9299999999999993,['Child'],['210_Child_CA-BO-IO'],8,10,0.8396305625524711
99_Parent_CA-BO-IO,Parent,['CA-BO-IO'],930.94,923.0,1.81,['Parent'],['99_Parent_CA-BO-IO'],5,7,0.8816120906800947
211_Child_CA-BO-IO,Child,['CA-BO-IO'],936.98,931.09,2.45,['Child'],['211_Child_CA-BO-IO'],10,16,2.7164685908319246
100_Parent_CA-BO-IO,Parent,['CA-BO-IO'],946.0,941.0,2.3999999999999995,['Parent'],['100_Parent_CA-BO-IO'],9,10,2.0
213_Child_CA-BO-IO,Child,['CA-BO-IO'],959.14,943.13,2.4000000000000004,['Child'],['213_Child_CA-BO-IO'],4,5,0.31230480949406636
101_Parent_CA-BO-IO,Parent,['CA-BO-IO'],956.26,946.0,3.6199999999999988,['Parent'],['101_Parent_CA-BO-IO'],11,13,1.267056530214426
214_Child_CA-BO-IO,Child,['CA-BO-IO'],965.69,960.35,3.3899999999999997,['Child'],['214_Child_CA-BO-IO'],4,4,0.7490636704119805
